Dimension,Year,Region,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,TotalYear
Customers,2015,ABRUZZO,5551,5956,10308,19082,19953,9865,12882,39116,13971,7440,6603,10268,160995
Customers,2015,BASILICATA,9995,5241,14489,42310,42004,19989,18488,38432,26144,18784,10903,9305,256084
Customers,2015,CALABRIA,13388,9736,20063,41108,51582,28160,30806,74362,35372,23713,14592,14633,357515
Customers,2015,CAMPANIA,236676,183044,489747,822331,990550,743861,735262,800478,741186,653215,323204,353288,7072842
Customers,2015,EMILIA-ROMAGNA,49855,39994,93400,167963,158382,68994,62203,90498,94465,90474,47679,44531,1008438
Customers,2015,FRIULI-VENEZIA GIULIA,23260,18896,106347,157099,154468,141971,127069,147691,111757,111778,47330,66882,1214548
Customers,2015,LAZIO,1020054,1065531,1519746,2119085,2132113,1749179,1935633,2128781,2129601,2110553,1353822,1100858,20364956
Customers,2015,LIGURIA,7836,5920,7819,14463,19150,12047,8333,12547,14275,9333,5671,7685,125079
Customers,2015,LOMBARDIA,80777,79800,126299,206131,211954,133308,147437,180390,169252,141693,90463,85094,1652598
Customers,2015,MARCHE,22904,13024,36838,83673,76374,36868,40062,85635,43673,26138,18231,30128,513548
Customers,2015,MOLISE,1730,1271,3500,11853,12962,5758,5206,14964,8339,4169,2555,3737,76044
Customers,2015,PIEMONTE,114660,54590,95369,271748,299551,196335,110324,191371,142509,165212,140838,159421,1941928
Customers,2015,PUGLIA,10501,13636,32836,85555,108220,46753,44122,87246,65116,45807,25451,25974,591217
Customers,2015,SARDEGNA,10365,7118,16843,46219,78095,51534,60345,95695,74848,33833,9822,9911,494628
Customers,2015,TOSCANA,312184,351987,554449,761794,744148,649087,676651,680217,701053,613523,349208,352089,6746390
Customers,2015,UMBRIA,11516,7126,19602,33796,29751,16670,20621,38179,22220,16816,10373,14926,241596
Customers,2015,VENETO,47044,53701,103835,116693,112208,78158,74478,85998,91440,100504,55447,54250,973756
Euro,2015,ABRUZZO,2530,1935,2867,8152,7119,5499,6194,17648,8063,4592,2253,3680,70532
Euro,2015,BASILICATA,4718.75,2480.5,5882.5,21927.25,19239.25,17805,13678,37657.25,23182.5,22936.5,8395,8437,186339.5
Euro,2015,CALABRIA,7606,5005,10446,24580,34670,36363,40822,137620,58297,30526,9047,13871,408853
Euro,2015,CAMPANIA,911094.87,874889.31,1500023.14,3304760.84,4451832.9,4261178.154,4217648.695,4641403.98,4654642.03,3837340.45,1442489.07,1387761.79,35485065.229
Euro,2015,EMILIA-ROMAGNA,69711,42667,98962,220009,250060,162250.5,130597.5,248421.5,212147,164244,78127.5,83599.5,1760796.5
Euro,2015,FRIULI-VENEZIA GIULIA,27222,24038,45483,111190.5,140297.5,105871.5,121349.5,204118.5,157981,103681.5,43145,66855.5,1151233.5
Euro,2015,LAZIO,2603456,3056705.5,4291686.5,6005377.5,7144579.5,6398729.5,6560155.5,6716866.5,6911955.5,6359418,3712423,3150011.5,62911364.5
Euro,2015,LIGURIA,8409.4,6746.7,7969.45,18030.8,21049.25,14174.2,19099.55,29330.8,22739.55,16519.65,8491.35,10114.2,182674.9
Euro,2015,LOMBARDIA,303854.75,292281,374143.25,568712.75,650375.25,565229.25,570635,709100.25,697458.75,562557.25,344446,347943,5986736.5
Euro,2015,MARCHE,44376,20076,36677.5,103635,122380,92524,90646,196838.5,118777.5,60978.5,34784,64465.5,986158.5
Euro,2015,MOLISE,363,284,648,2906,3336,2960,2968,8761,2516,1587,992,1143,28464
Euro,2015,PIEMONTE,459728.5,168554,297427.72,1410419.2,1791847.68,1289470.32,626027.3,1086283.9,826161.75,1106331.84,905907.92,963820.16,10931980.29
Euro,2015,PUGLIA,12992.5,16191,35813.75,133851.25,166258.25,125626,100886.25,219750.75,178861.25,120661.75,35927.25,43347.25,1190167.25
Euro,2015,SARDEGNA,14653.5,9461,24010.5,104466,149895,158456.5,173583,280987,208531.5,74640,17758.5,17017.5,1233460
Euro,2015,TOSCANA,1194521.5,1285208.25,1892024.25,2854086.75,3407137.75,3160329.25,3243694,3218430,3527119,3108508.5,1583448.75,1427618.25,29902126.25
Euro,2015,UMBRIA,13614.1274,11109.5352,21243.6204,50362.8078,54543.2891,41481.8643,50637.327,85072.2424,55026.099,41558.5362,16824.2566,25530.9524,467004.6578
Euro,2015,VENETO,108576.98,137212.59,207733.18,291306.77,325144.01,245771.83,205138.58,231255.32,295512.74,283649.31,140445.43,139711.57,2611458.31
Customers,2016,ABRUZZO,8459,5956,15628,15918,17255,9906,12851,24479,9822,7723,6146,6038,140181
Customers,2016,BASILICATA,8189,6463,17023,34252,34448,22360,16575,36728,22083,22318,7616,7413,235468
