Type,Year,Month,Visitors_paying,Visitors_notpaying,Visitors_total,Euro
MU,2015,Jan,324437,280359,604796,1945178.6194
MU,2015,Feb,317019,278884,595903,1890943.9704
MU,2015,Mar,437183,517392,954575,2604118.8483
MU,2015,Apr,712506,688605,1401111,4383212.3919
MU,2015,May,851006,585454,1436460,5374295.8346
MU,2015,Jun,708717,285014,993731,4702930.8869
MU,2015,Jul,691876,292881,984757,4414164.8224
MU,2015,Aug,841117,348439,1189556,5129500.6736
MU,2015,Sep,797379,300141,1097520,5063537.9104
MU,2015,Oct,722812,329113,1051925,4719960.5495
MU,2015,Nov,412877,239269,652146,2822708.2818
MU,2015,Dec,427304,275468,702772,2773853.8173
MOAA,2015,Jan,183585,752831,936416,1399578.738
MOAA,2015,Feb,156833,669178,826011,1223828.1648
MOAA,2015,Mar,275763,1190986,1466749,2135226.4421
MOAA,2015,Apr,629777,1784492,2414269,4681997.0359
MOAA,2015,May,809133,1788360,2597493,6128997.4245
MOAA,2015,Jun,677132,1310332,1987464,5370923.0114
MOAA,2015,Jul,659781,1437679,2097460,5221735.8596
MOAA,2015,Aug,817628,1703294,2520922,6053817.5088
MOAA,2015,Sep,748248,1614499,2362747,5904109.3186
MOAA,2015,Oct,588279,1557665,2145944,4839738.5567
MOAA,2015,Nov,275155,1034948,1310103,2091485.2148
MOAA,2015,Dec,263595,883897,1147492,2026159.6551
CIMU,2015,Jan,291286,145798,437084,2442671.52
CIMU,2015,Feb,341961,152696,494657,2840072.25
CIMU,2015,Mar,490053,340113,830166,4113696.07
CIMU,2015,Apr,741962,443561,1185523,6168564.99
CIMU,2015,May,855333,352179,1207512,7236471.37
CIMU,2015,Jun,777110,230232,1007342,6609865.97
CIMU,2015,Jul,776302,251403,1027705,6537859.52
CIMU,2015,Aug,831100,250022,1081122,6886227.31
CIMU,2015,Sep,830107,194847,1024954,6991324.94
CIMU,2015,Oct,741570,233546,975116,6340031.68
CIMU,2015,Nov,411063,138880,549943,3470711.53
CIMU,2015,Dec,351290,141426,492716,2954914.2
TOTALS,2015,Jan,799308,1178988,1978296,5787428.8774
TOTALS,2015,Feb,815813,1100758,1916571,5954844.3852
TOTALS,2015,Mar,1202999,2048491,3251490,8853041.3604
TOTALS,2015,Apr,2084245,2916658,5000903,15233774.4178
TOTALS,2015,May,2515472,2725993,5241465,18739764.6291
TOTALS,2015,Jun,2162959,1825578,3988537,16683719.8683
TOTALS,2015,Jul,2127959,1981963,4109922,16173760.202
TOTALS,2015,Aug,2489845,2301755,4791600,18069545.4924
TOTALS,2015,Sep,2375734,2109487,4485221,17958972.169
TOTALS,2015,Oct,2052661,2120324,4172985,15899730.7862
TOTALS,2015,Nov,1099095,1413097,2512192,8384905.0266
TOTALS,2015,Dec,1042189,1300791,2342980,7754927.6724
MU,2016,Jan,380883,254926,635809,2552358.1148
MU,2016,Feb,395753,281759,677512,2576261.2898
MU,2016,Mar,612156,531507,1143663,4009362.3432
MU,2016,Apr,734107,694942,1429049,4711950.7378
MU,2016,May,804119,560218,1364337,5186292.236
MU,2016,Jun,732650,332968,1065618,4912088.0454
MU,2016,Jul,754509,333701,1088210,5078841.7286
MU,2016,Aug,900323,389260,1289583,6000511.682
MU,2016,Sep,834471,282833,1117304,5915544.3012
MU,2016,Oct,796241,376598,1172839,5922446.6315
MU,2016,Nov,477391,317637,795028,3658451.1402
MU,2016,Dec,518538,303126,821664,4015135.9808
MOAA,2016,Jan,227411,751967,979378,1739235.7775
MOAA,2016,Feb,185864,873838,1059702,1570350.3409
MOAA,2016,Mar,430415,1447799,1878214,3268552.5248
MOAA,2016,Apr,704089,1893733,2597822,5250560.8698
MOAA,2016,May,816883,1691302,2508185,6466658.8818
MOAA,2016,Jun,749552,1278766,2028318,6083473.5687
MOAA,2016,Jul,783365,1380194,2163559,6148445.8634
MOAA,2016,Aug,951958,1608031,2559989,7078548.438
MOAA,2016,Sep,838354,1408045,2246399,6849293.4412
MOAA,2016,Oct,756560,1394617,2151177,6202736.2336
MOAA,2016,Nov,316105,907326,1223431,2510630.0632
MOAA,2016,Dec,309631,913125,1222756,2424307.8374
CIMU,2016,Jan,296855,111716,408571,2467197.34
CIMU,2016,Feb,365049,137589,502638,3032768.5
CIMU,2016,Mar,560450,283752,844202,4634105.6
CIMU,2016,Apr,724664,393341,1118005,6034757.63
CIMU,2016,May,845129,273069,1118198,7106883.8
CIMU,2016,Jun,798681,241273,1039954,6762027.84
CIMU,2016,Jul,804384,251660,1056044,6719806.25
CIMU,2016,Aug,826573,250934,1077507,6870198.2
CIMU,2016,Sep,784698,164234,948932,6646965.43
CIMU,2016,Oct,732237,242719,974956,6235667.02
CIMU,2016,Nov,402667,121355,524022,3374011.37
CIMU,2016,Dec,412902,138396,551298,3424316.71
TOTALS,2016,Jan,905149,1118609,2023758,6758791.2323
TOTALS,2016,Feb,946666,1293186,2239852,7179380.1307
TOTALS,2016,Mar,1603021,2263058,3866079,11912020.468
TOTALS,2016,Apr,2162860,2982016,5144876,15997269.2376
TOTALS,2016,May,2466131,2524589,4990720,18759834.9178
TOTALS,2016,Jun,2280883,1853007,4133890,17757589.4541
TOTALS,2016,Jul,2342258,1965555,4307813,17947093.842
TOTALS,2016,Aug,2678854,2248225,4927079,19949258.32
TOTALS,2016,Sep,2457523,1855112,4312635,19411803.1724
TOTALS,2016,Oct,2285038,2013934,4298972,18360849.8851
TOTALS,2016,Nov,1196163,1346318,2542481,9543092.5734
TOTALS,2016,Dec,1241071,1354647,2595718,9863760.5282
MU,2017,Jan,451971,261786,713757,3595633.1456
MU,2017,Feb,439058,334859,773917,3368166.7158
MU,2017,Mar,572568,556798,1129366,4314894.0375
MU,2017,Apr,919350,738458,1657808,6720808.3673
MU,2017,May,849806,630181,1479987,6234216.4356
MU,2017,Jun,772310,371122,1143432,5917674.5735
MU,2017,Jul,775783,371810,1147593,5809115.1328
MU,2017,Aug,936074,427417,1363491,6815591.056
MU,2017,Sep,891274,357308,1248582,6676785.0238
MU,2017,Oct,801234,424404,1225638,6171690.8246
MU,2017,Nov,495161,318440,813601,4168009.0216
MU,2017,Dec,546187,363793,909980,4422107.4393
MOAA,2017,Jan,261128,491209,752337,2190085.1154
MOAA,2017,Feb,218564,996870,1215434,1953857.8187
MOAA,2017,Mar,342025,1520346,1862371,3006824.568
MOAA,2017,Apr,900473,2232001,3132474,6827748.9253
MOAA,2017,May,820385,2122707,2943092,6646619.0399
MOAA,2017,Jun,722490,1596729,2319219,5997252.8867
MOAA,2017,Jul,744081,1711480,2455561,6353673.9396
MOAA,2017,Aug,944677,1810872,2755549,7338558.736
MOAA,2017,Sep,839476,1614165,2453641,7216777.3332
MOAA,2017,Oct,798080,1784753,2582833,6895334.1067
MOAA,2017,Nov,354436,1114874,1469310,3049073.843
MOAA,2017,Dec,419689,1016698,1436387,2822205.4045
CIMU,2017,Jan,372774,112987,485761,3145922.063
CIMU,2017,Feb,400486,160609,561095,3329050.689
CIMU,2017,Mar,561064,327405,888469,4698963.023
CIMU,2017,Apr,922677,477742,1400419,7728082.9866
CIMU,2017,May,904416,354501,1258917,7672248.5159
CIMU,2017,Jun,844097,256398,1100495,7210233.7
CIMU,2017,Jul,851070,275066,1126136,7116355.02
CIMU,2017,Aug,872088,255272,1127360,7247794.2518
CIMU,2017,Sep,852432,188811,1041243,7123566.992
CIMU,2017,Oct,804792,254111,1058903,6800516.8466
CIMU,2017,Nov,453398,129322,582720,3809206.7319
CIMU,2017,Dec,413130,139308,552438,3521120.7655
TOTALS,2017,Jan,1085873,865982,1951855,8931640.324
TOTALS,2017,Feb,1058108,1492338,2550446,8651075.2235
TOTALS,2017,Mar,1475657,2404549,3880206,12020681.6285
TOTALS,2017,Apr,2742500,3448201,6190701,21276640.2792
TOTALS,2017,May,2574607,3107389,5681996,20553083.9914
TOTALS,2017,Jun,2338897,2224249,4563146,19125161.1602
TOTALS,2017,Jul,2370934,2358356,4729290,19279144.0924
TOTALS,2017,Aug,2752839,2493561,5246400,21401944.0438
TOTALS,2017,Sep,2583182,2160284,4743466,21017129.349
TOTALS,2017,Oct,2404106,2463268,4867374,19867541.7779
TOTALS,2017,Nov,1302995,1562636,2865631,11026289.5965
TOTALS,2017,Dec,1379006,1519799,2898805,10765433.6093
MU,2018,Jan,476151,311482,787633,3962866.9061
MU,2018,Feb,477783,372114,849897,3789094.8372
MU,2018,Mar,634061,615433,1249494,5549233.0207
MU,2018,Apr,849092,801683,1650775,7225403.8856
MU,2018,May,893875,694333,1588208,7668278.5205
MU,2018,Jun,750266,404624,1154890,6794176.9812
MU,2018,Jul,753684,385642,1139326,6685446.0644
MU,2018,Aug,895860,423448,1319308,7633421.2473
MU,2018,Sep,877592,376872,1254464,7816175.9101
MU,2018,Oct,770656,429281,1199937,7146943.6843
MU,2018,Nov,546057,395368,941425,5054390.1485
MU,2018,Dec,502691,374622,877313,4572308.3552
MOAA,2018,Jan,305001,976164,1281165,2669364.068
MOAA,2018,Feb,224565,1385509,1610074,2287615.8095
MOAA,2018,Mar,394471,1876327,2270798,3936275.9091
MOAA,2018,Apr,919671,2538421,3458092,8498253.7564
MOAA,2018,May,909056,2472490,3381546,9297322.7936
MOAA,2018,Jun,777130,1935476,2712606,8267299.955
MOAA,2018,Jul,787757,1949434,2737191,8194267.5848
MOAA,2018,Aug,932148,2069379,3001527,8949218.2428
MOAA,2018,Sep,930623,2001973,2932596,9507736.2868
MOAA,2018,Oct,808500,2172246,2980746,8238683.2724
MOAA,2018,Nov,363379,1241031,1604410,3737857.2701
MOAA,2018,Dec,348389,1313638,1662027,3210427.824
