"year","avg_ice_duration","avg_air_temp_adjusted"
1851,103,NA
1855,118,NA
1856,151,NA
1857,120,NA
1858,95,NA
1859,110.5,NA
1860,123,NA
1861,132.5,NA
1862,111.5,NA
1863,128,NA
1864,117.5,NA
1865,125,NA
1866,125.5,NA
1867,109,NA
1868,126.5,-2.23
1869,134.5,-2.31325966850829
1870,99.5,-0.374585635359116
1871,134,-4.11483516483516
1872,142.5,-5.27624309392265
1873,136,-3.04419889502762
1874,124.5,-5.74198895027624
1875,91,-0.911538461538462
1876,131,-3.36685082872928
1877,62,3.19779005524862
1878,113.5,-0.366298342541436
1879,96,0.740659340659341
1880,160.5,-4.50110497237569
1881,77.5,1.2707182320442
1882,125.5,-2.92872928176796
1883,119.5,-4.17912087912088
1884,122.5,-6.30994475138122
1885,129.5,-2.97403314917127
1886,131,-4.98674033149171
1887,125,-4.98956043956044
1888,87.5,-1.08232044198895
1889,74.5,-0.719337016574586
1890,112,-1.23480662983425
1891,96.5,-2.61428571428571
1892,114.5,-5.34198895027624
1893,100,-1.88453038674033
1894,102.5,-3.23370165745856
1895,105,-1.70604395604396
1896,116.5,-2.22707182320442
1897,100.5,-2.27845303867403
1898,129.5,-4.37237569060773
1899,111.5,-2.20386740331492
1900,112.5,-2.61988950276243
1901,104,-2.21381215469613
1902,87,-1.09502762430939
1903,133,-5.38956043956044
1904,109.5,-3.24696132596685
1905,106,-1.82762430939227
1906,100,-2.30828729281768
1907,94.5,-1.21648351648352
1908,112,-2.23977900552486
1909,97,-1.38950276243094
1910,102,-2.27348066298343
1911,110.5,-5.17087912087912
1912,101.5,-1.93204419889503
1913,85.5,-1.03591160220994
1914,115,-1.75966850828729
1915,106.5,-2.39010989010989
1916,116,-4.28342541436464
1917,115.5,-3.99889502762431
1918,82.5,-0.148066298342541
1919,113,-4.81593406593407
1920,83,0.0596685082872928
1921,96,-2.40497237569061
1922,126,-2.8817679558011
1923,103.5,-1.8467032967033
1924,104,-1.74309392265193
1925,125,-3.34033149171271
1926,102.5,-1.96408839779006
1927,107,-2.1032967032967
1928,96,-2.93425414364641
1929,105.5,-2.18618784530387
1930,98,0.0558011049723757
1931,62.5,-0.0186813186813187
1932,111,-1.84254143646409
1933,97,-2.00939226519337
1934,96,-1.63370165745856
1935,104,-4.72747252747253
1936,122,-2.87569060773481
1937,108,-1.09060773480663
1938,99.5,-1.45193370165746
1939,103.5,-2.34615384615385
1940,111.5,-1.6524861878453
1941,83.5,-0.00607734806629839
1942,115,-3.38011049723757
1943,107.5,-1.85384615384615
1944,90.5,-1.06243093922652
1945,98.5,-0.815469613259668
1946,104.5,-1.8292817679558
1947,106,-2.50549450549451
1948,94,-1.03812154696133
1949,111,-2.35082872928177
1950,120,-3.88121546961326
1951,113,-2.11098901098901
1952,87,-0.588950276243094
1953,78.5,0.239226519337017
1954,87.5,-0.938121546961326
1955,111.5,-2.86758241758242
1956,101.5,-1.34198895027624
1957,102,-1.45635359116022
1958,125.5,-3.53259668508287
1959,103,-2.30054945054945
1960,103,-1.15966850828729
1961,115,-2.78508287292818
1962,112,-2.93756906077348
1963,102.5,-0.963736263736264
1964,117,-2.63812154696133
1965,65,-1.37348066298343
1966,93,-1.35193370165746
1967,89,-0.567582417582418
1968,104.5,-1.60497237569061
1969,102.5,-2.32596685082873
1970,101.5,-2.39779005524862
1971,100,-2.54615384615385
1972,93.5,-0.40828729281768
1973,99.5,-1.16574585635359
1974,101,-1.37348066298343
1975,89,0.712637362637363
1976,109,-2.68342541436464
1977,122,-3.77900552486188
1978,117.5,-4.05414364640884
1979,101.5,-2.01153846153846
1980,89.5,-0.254696132596685
1981,98,-3.16795580110497
1982,55,-0.624861878453039
1983,109,-2.57197802197802
1984,88.5,-0.973480662983425
1985,110,-2.43370165745856
1986,87,0.405524861878453
1987,89,-1.12032967032967
1988,95,-1.00662983425414
1989,95.5,-0.402762430939227
1990,88,-0.212154696132597
1991,95,-0.133516483516484
1992,108,-1.31767955801105
1993,94.5,-1.96574585635359
1994,79.5,0.108839779005525
1995,113,-3.29835164835165
1996,99,-2.19834254143646
1997,47,0.741988950276243
1998,75.5,0.792265193370166
1999,52.5,1.10934065934066
2000,111.5,-2.03867403314917
2001,38.5,1.82375690607735
2002,86,-1.41602209944751
2003,77.5,-0.148351648351648
2004,99,0.657458563535912
2005,94.5,0.665193370165746
2006,66.5,0.160220994475138
2007,114,-2.10769230769231
2008,97.5,-2.06243093922652
2009,87.5,0.370165745856354
2010,113,-1.55635359116022
2011,63,2.97307692307692
2012,94,-0.975690607734807
2013,119,-3.95801104972376
2014,98,-1.73480662983425
2015,62,1.61483516483516
2016,73,1.28508287292818
2017,93.5,-2.0524861878453
2018,91.5,-1.75580110497238
2019,75,-0.819672131147541
